node1	label	node2	id
P1963computed	datatype	wikibase-item	P1963computed-datatype-643cc9
P1963computed	Psort_criterion	qualifier	P1963computed-Psort_criterion-5da6e4
P1963computed-Psort_criterion-5da6e4	Psort_qualifier	P1114	P1963computed-Psort_criterion-5da6e4-Psort_qualifier-P1114
P1963computed-Psort_criterion-5da6e4	Psort_order	desc	P1963computed-Psort_criterion-5da6e4-Psort_order-97864e
P1963computed-Psort_criterion-5da6e4	datatype	quantity	P1963computed-Psort_criterion-5da6e4-datatype-1a7b30
P1963computed_star	datatype	wikibase-item	P1963computed_star-datatype-643cc9
P1963computed_star	Psort_criterion	qualifier	P1963computed_star-Psort_criterion-5da6e4
P1963computed_star-Psort_criterion-5da6e4	Psort_qualifier	P1114	P1963computed_star-Psort_criterion-5da6e4-Psort_qualifier-P1114
P1963computed_star-Psort_criterion-5da6e4	Psort_order	desc	P1963computed_star-Psort_criterion-5da6e4-Psort_order-97864e
P1963computed_star-Psort_criterion-5da6e4	datatype	quantity	P1963computed_star-Psort_criterion-5da6e4-datatype-1a7b30
Pproperty_domain	datatype	wikibase-item	Pproperty_domain-datatype-643cc9
Pproperty_domain	Psort_criterion	qualifier	Pproperty_domain-Psort_criterion-5da6e4
Pproperty_domain-Psort_criterion-5da6e4	Psort_qualifier	P1114	Pproperty_domain-Psort_criterion-5da6e4-Psort_qualifier-P1114
Pproperty_domain-Psort_criterion-5da6e4	Psort_order	desc	Pproperty_domain-Psort_criterion-5da6e4-Psort_order-97864e
Pproperty_domain-Psort_criterion-5da6e4	datatype	quantity	Pproperty_domain-Psort_criterion-5da6e4-datatype-1a7b30
